Vardas         Pavarde               ND1       ND2       ND3       ND4       ND5       ND6       ND7       ND8       ND9      Egz.
Vardas1        Pavarde1                2         6         5        10         4         6         4         2         7         1
Vardas2        Pavarde2                1         8        10         1         6        10        10         2         3         4
Vardas3        Pavarde3                3         9         4         4         4         8         8         7         9         4
Vardas4        Pavarde4                2         1         6         1         7         5         6         9         2         4
Vardas5        Pavarde5                9         6         4         5         9         6         8         4        10         4
Vardas6        Pavarde6                1         7        10        10         8         3         3         4         1         8
Vardas7        Pavarde7                4         9         7         9         2        10         5         9         8         5
Vardas8        Pavarde8                1        10         1         3         5         4         8         2         4         2
Vardas9        Pavarde9                5         4        10         2         8         2         7         9         2         5
Vardas10       Pavarde10               6         9         4         5         8         9         7         2         5         8
Vardas11       Pavarde11               6         3        10        10         2         7         1         6         3         2
Vardas12       Pavarde12               7         2         4         8         2         3         9         1         4         5
Vardas13       Pavarde13               1         6         8         7         3         9         5        10         7         6
Vardas14       Pavarde14               2         4         7         9         5         2         6         8         9         9
Vardas15       Pavarde15               5         9         3         9        10         5         7         4         3         3
Vardas16       Pavarde16               5         6         1         8         4        10         9         4         5         7
Vardas17       Pavarde17              10         8        10         3         9         4         3         2         4         2
Vardas18       Pavarde18               4         6         9         2        10         3         8         1         9         7
Vardas19       Pavarde19               2         5         6         5        10         5         2         9         8         1
Vardas20       Pavarde20               2         1         4         9        10         9         7         5         1         7
Vardas21       Pavarde21               5        10         1         6        10         4         8         4         6         4
Vardas22       Pavarde22               6         6        10         8         1         1         4         6         1         1
Vardas23       Pavarde23               8         1         3         8         2         1         7         5         8         1
Vardas24       Pavarde24              10         2         8         9         1         3         3         8         6         3
Vardas25       Pavarde25               1         3         7         2         8         5         1         5         6         9
Vardas26       Pavarde26               6         7         5        10         5         3         2         7         4         4
Vardas27       Pavarde27               7         3         4         3         3         9         7        10         3         3
Vardas28       Pavarde28               5        10         8         6         9         1         9         7         4         6
Vardas29       Pavarde29               1         5         3         2         9         3         5         8         6         5
Vardas30       Pavarde30               2         9         1         3         6         2         5         5        10         6
Vardas31       Pavarde31               6         4         3         2         1         6         4         5         4         8
Vardas32       Pavarde32               4         8         8         7         8         2         2         7         6         2
Vardas33       Pavarde33               6         6         4        10         6         6         9         7         4        10
Vardas34       Pavarde34               9         2         5         4         1         3         9         5         4         2
Vardas35       Pavarde35              10         6         8         2        10         2         8         1         2        10
Vardas36       Pavarde36              10        10         6         5         8         8         8         7         5         9
Vardas37       Pavarde37               5         7         2         4         8         5         5         8         2         6
Vardas38       Pavarde38               7         8         9        10         3         4         9         5         6         3
Vardas39       Pavarde39               5         1         9        10         6         9        10        10         2         5
Vardas40       Pavarde40               5         2         7         3         6         5         7        10         6         4
Vardas41       Pavarde41               9         5         5         6         3         7         9        10         6         5
Vardas42       Pavarde42               7        10        10         5         8         6         7         1         9         4
Vardas43       Pavarde43               6         5         3         9         2         1         1         5         5         3
Vardas44       Pavarde44               3         2         4         1         4        10        10         6         6         5
Vardas45       Pavarde45               7         5         2         2         5         4         3         6         9         3
Vardas46       Pavarde46               1         2        10         5         2         6         5         5         9         1
Vardas47       Pavarde47               2         2         9        10         8         3         6         6         4         2
Vardas48       Pavarde48               7        10         8         5         7         9         7         3         3         8
Vardas49       Pavarde49               8        10         9         3         8         1         7         8        10         8
Vardas50       Pavarde50               3         6         3         8         2         9         7         9         5         6
Vardas51       Pavarde51              10         9         2         7         5         9         1         4         8         7
Vardas52       Pavarde52               3         8         7         8         7         6         7         9         8         8
Vardas53       Pavarde53               5         9         9        10         7         8         1         4         3        10
Vardas54       Pavarde54               3        10         8         1         7         5         4         2         5         6
Vardas55       Pavarde55               4         1        10         3         9         2        10         5         7         8
Vardas56       Pavarde56               3         1         4         7         5         1        10         4         8        10
Vardas57       Pavarde57               1        10         1         8         1         3        10         8         9        10
Vardas58       Pavarde58               8         5         7         5         2         9         4         1         5         5
Vardas59       Pavarde59               3         6        10        10         3         5         9         2         5         3
Vardas60       Pavarde60               3         4         4        10         8         5         8         2         4         1
Vardas61       Pavarde61               8        10         7         8         5         8         6         2        10         3
Vardas62       Pavarde62               7         2         1         9        10         3        10        10         7         9
Vardas63       Pavarde63               2         1         2        10         5         1         6         8         2         6
Vardas64       Pavarde64               8         6         9        10         7         9         6         1         1         2
Vardas65       Pavarde65               3         2         6         5         2         6         9         1         1         8
Vardas66       Pavarde66               7         2         4         5         6         6         9         1         6         4
Vardas67       Pavarde67               2         3         5         4         7         8         8         2         2         3
Vardas68       Pavarde68               1         8         1         3         9         6         1         8         3         1
Vardas69       Pavarde69               3         3         7        10         3        10        10         1         7         2
Vardas70       Pavarde70               2         4         6         7         8         4         2         7         6         1
Vardas71       Pavarde71               9         3         7         9         6         3         4        10         5         9
Vardas72       Pavarde72               6         7         7         9         3         4         2         2         9         4
Vardas73       Pavarde73               8         3         3         9         7         4         6         8         2         7
Vardas74       Pavarde74               7         1         7         8         6         2         2         9         6         8
Vardas75       Pavarde75               5         4         4         9         8         8         2         1         2         1
Vardas76       Pavarde76               9         9         9         8         8         1        10         1         2         2
Vardas77       Pavarde77               5         9         3         3         1         8         4         7         1         7
Vardas78       Pavarde78               8         1         5         6         8         5         4         9         3         1
Vardas79       Pavarde79               3        10         2         1         3         2         5         8         6         7
Vardas80       Pavarde80              10         8        10         7         4         8         1         4         1         1
Vardas81       Pavarde81               1         5         6         1        10         5         2         5         5         4
Vardas82       Pavarde82               6         5         3         4         3         5         9         2         9         2
Vardas83       Pavarde83               5         2         7         1         3         4         8         4         6         6
Vardas84       Pavarde84               7         5         4         8         6         6         1         8         3         1
Vardas85       Pavarde85               9         4         5         7         6         2         7         7         5         5
Vardas86       Pavarde86               9         1         5         7        10         4         9         2        10        10
Vardas87       Pavarde87               3         1         3         7         6         1         5         5         4         6
Vardas88       Pavarde88               6         7         5         9         5         8         1         1         1         5
Vardas89       Pavarde89               9         5        10         4         9        10         1         6         3         2
Vardas90       Pavarde90               4         5         3         5         5         9        10        10         8        10
Vardas91       Pavarde91               1         5         8         6         6         1         8         3         4         6
Vardas92       Pavarde92               4         3         6         4         1         8         5         2         1         7
Vardas93       Pavarde93               8         1        10        10         3         4         5         3         6        10
Vardas94       Pavarde94               4         9         8         9         7         5        10        10         9         7
Vardas95       Pavarde95               8        10         7         1         7         9         3         3        10         7
Vardas96       Pavarde96               5         8         9        10         5         7         2         6        10         3
Vardas97       Pavarde97               3         3         4         4         7         8         5        10         9         5
Vardas98       Pavarde98               4         8        10         1         7         9         9         4         5         2
Vardas99       Pavarde99               4         9         2        10         1         3         3        10         8         3
