Vardas         Pavarde               ND1       ND2       ND3       ND4       ND5       ND6       ND7       ND8       ND9      Egz.
Vardas1        Pavarde1                3         6         4         1         9         8         2         3         9         4
Vardas2        Pavarde2                7         6         5         8         3         1         4         1         2         7
Vardas3        Pavarde3                3         1        10         1         1         7        10         6         9         9
Vardas4        Pavarde4                5         3        10         2        10         2         5         4        10         8
Vardas5        Pavarde5                2         9         4         4         2         3         6         2         7         8
Vardas6        Pavarde6                9         5         6         3         8         8         1         8         4         7
Vardas7        Pavarde7                4         6         1        10         6         5         4         6         7         5
Vardas8        Pavarde8               10         4         7         4         4         6         7         4         4         4
Vardas9        Pavarde9                2         9         2         5         3         1        10         2         3         8
Vardas10       Pavarde10               1         5        10         9         9         5         5         5         8         4
Vardas11       Pavarde11              10         4         4         2         1         9         4         8         9         4
Vardas12       Pavarde12               9         4         3         7         7         6         2         3         6         5
Vardas13       Pavarde13               8         8         4         5         3         6         6         9         6        10
Vardas14       Pavarde14               6         5         3        10         5         7         2         4         2         9
Vardas15       Pavarde15               2         5         1        10         9         1         5         1         4         7
Vardas16       Pavarde16               9         6         3         9         9         3         2        10         8        10
Vardas17       Pavarde17               9        10         4         5         2         1        10         8         6         2
Vardas18       Pavarde18               7         7         3         3         6         4         3         1        10         6
Vardas19       Pavarde19               4         7         4         7         3         1         1         8         8         1
Vardas20       Pavarde20               2         4        10         5         2         1         6         5         1        10
Vardas21       Pavarde21               2         6         9         6         7         9         8         5         2         7
Vardas22       Pavarde22               7         8         1         5         7         5         3         8         2        10
Vardas23       Pavarde23              10         1         5         6         6        10        10         9         5         9
Vardas24       Pavarde24               5         4         3         9         9         9         6         1         6         5
Vardas25       Pavarde25               7         6         1         8         7         7         6         7         1         1
Vardas26       Pavarde26               4         7         6         8         1         4         4         6         7        10
Vardas27       Pavarde27               9         7         9         9         8         8        10         7         9         6
Vardas28       Pavarde28              10         3        10         4         6         3         6         5         5        10
Vardas29       Pavarde29               7         5         4         5         2         7        10         2         3         5
Vardas30       Pavarde30               9         5         2         9        10         3         5         7         9        10
Vardas31       Pavarde31               7         1         8        10         8         5         9         5         4         4
Vardas32       Pavarde32               8         7         3         5         2         6         3         5         9         2
Vardas33       Pavarde33               7        10        10         5        10         9         1         9         7         5
Vardas34       Pavarde34               4         8         8         6        10         4         5         7         1         8
Vardas35       Pavarde35               6         8         4         9         4         8         3         7         8         9
Vardas36       Pavarde36               2         2         5         7         7         1         3         9         8         7
Vardas37       Pavarde37               7         1         8        10         6         9         8         5         1         6
Vardas38       Pavarde38               2         1         3         5         4         9         4         2         9         8
Vardas39       Pavarde39              10         4        10         7         3         8         8         2         4         8
Vardas40       Pavarde40               4         5         8         4         6         9         3        10         4         4
Vardas41       Pavarde41               8         4         1         5         3         8         9         5         1         7
Vardas42       Pavarde42               6         1         5         3        10         1         5         7         3         8
Vardas43       Pavarde43               1         1         4         9         4         5        10        10         9         7
Vardas44       Pavarde44               7         5         1         6         4        10         3         4         1         9
Vardas45       Pavarde45               5         5         8        10         5         9         5         6         5        10
Vardas46       Pavarde46               3         5         6         5         8         8         6         5         5        10
Vardas47       Pavarde47              10         7         7         2         6         5         9         1         5         7
Vardas48       Pavarde48               8         6         7         5         6         5         6         5         9         1
Vardas49       Pavarde49               2         4        10         8         4         1         3        10         8        10
Vardas50       Pavarde50               7         7        10        10         1        10        10         8         3         7
Vardas51       Pavarde51               9        10         9         6         3         3         2         6         9         7
Vardas52       Pavarde52               6        10         5         1         3         3         3         6         6         9
Vardas53       Pavarde53               1         5         9         2         2         8         7         6         3         5
Vardas54       Pavarde54               5         8         7        10         6         9         7         1         8         2
Vardas55       Pavarde55               9         3         4        10         5         6         6         3         3         7
Vardas56       Pavarde56               9         6         6         2         6         8         5         8        10         2
Vardas57       Pavarde57               7         5         4         8         9         3         4        10         3         8
Vardas58       Pavarde58               8         1         2         3         7         8         9        10         5         8
Vardas59       Pavarde59              10         9        10         4         3         4         2         4         1         4
Vardas60       Pavarde60               3        10         4         7         5         3         6        10         8         7
Vardas61       Pavarde61               1         2         6         3         7         6         9         8         1         9
Vardas62       Pavarde62               6         1         7         4         1        10         7         2         8         1
Vardas63       Pavarde63               9         9        10         2         4         4         7         2         1         6
Vardas64       Pavarde64               3         8         8         7         4         3         7         3         9        10
Vardas65       Pavarde65               5         3         7         2         4         5         5         1        10         5
Vardas66       Pavarde66               1         6        10         1         8         5         1         1         4         5
Vardas67       Pavarde67               5         8         3         5         5        10         6         3         9         5
Vardas68       Pavarde68               4         5        10         6         2         6         3         7         3         8
